Method:,Hadamard 1,,
Host Date-Time:,30/5/22 @ 18:5:23,,
Header Version:,1,,
System Temp (C):,36.98,,
Detector Temp (C):,0,,
Humidity (%):,71.47,,
Lamp PD:,3571,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.459,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,1.102298,66710,5271
905.331226,1.105649,78157,6128
909.259927,1.111812,86609,6695
913.184288,1.111202,93489,7237
917.104308,1.109228,100845,7842
921.019987,1.10303,109482,8636
924.931325,1.096038,119909,9612
930.13969,1.097439,137192,10962
934.0409,1.098235,152853,12191
937.937768,1.095585,169744,13621
941.830296,1.093681,186508,15032
945.718482,1.087848,202505,16542
949.602328,1.086254,217278,17814
953.481833,1.082541,230871,19091
957.356997,1.078319,244614,20425
961.22782,1.07971,258290,21498
965.094302,1.076089,272207,22846
968.956444,1.071154,285930,24272
972.814244,1.062993,299324,25891
976.667703,1.058385,312317,27303
981.798897,1.053185,328323,29048
985.642228,1.050685,339047,30170
989.481217,1.045156,347929,31357
993.315866,1.038888,355969,32548
997.146174,1.037566,362225,33221
1000.972141,1.032833,367316,34057
1004.793768,1.02833,370988,34756
1008.611053,1.0249,373767,35294
1012.423997,1.020169,375552,35851
1016.232601,1.015273,376293,36329
1020.036863,1.011141,376711,36717
1023.836785,1.010087,377323,36866
1028.896595,1.002884,377418,37492
1032.686388,1.001769,377404,37587
1036.47184,0.996513,377110,38015
1040.252951,0.993408,377014,38278
1044.029721,0.991105,376852,38465
1047.80215,0.989655,377578,38668
1051.570239,0.987019,378360,38984
1055.333986,0.985282,379943,39304
1059.093393,0.984156,381341,39551
1062.848459,0.985073,382852,39624
1066.599184,0.98662,385285,39734
1070.345568,0.985651,388277,40132
1075.333994,0.987159,391754,40351
1079.070249,0.988742,394773,40514
1082.802163,0.989182,397689,40772
1086.529736,0.992059,400401,40779
1090.252969,0.992584,403068,41001
1093.97186,0.996571,406200,40942
1097.686411,1.000385,409002,40864
1101.396621,1.003617,410878,40747
1105.10249,1.005434,412864,40773
1108.804018,1.011488,415004,40417
1112.501205,1.014692,416484,40263
1116.194051,1.019232,417087,39902
1121.111093,1.023274,418497,39666
1124.793811,1.028817,419748,39280
1128.472187,1.033176,419934,38905
1132.146223,1.041235,420245,38218
1135.815917,1.05039,420439,37438
1139.481271,1.059902,420703,36650
1143.142284,1.072629,420850,35604
1146.798956,1.08255,421771,34876
1150.451287,1.088472,422045,34426
1154.099277,1.094411,422934,34030
1157.742927,1.096825,423730,33905
1161.382235,1.099,424814,33822
1166.227894,1.10287,426703,33671
1169.857073,1.101231,428315,33926
1173.481912,1.10116,430631,34115
1177.10241,1.101943,433684,34295
1180.718567,1.100211,436430,34650
1184.330383,1.099267,440333,35036
1187.937858,1.102879,446216,35210
1191.540992,1.102672,452603,35731
1195.139786,1.099051,457940,36455
1198.734238,1.10015,464099,36852
1202.324349,1.099152,470422,37440
1205.91012,1.096975,477509,38195
1209.49155,1.093743,484442,39039
1214.260037,1.093241,494430,39890
1217.831338,1.088825,503023,40998
1221.398298,1.086899,510557,41797
1224.960917,1.084415,518370,42680
1228.519195,1.082214,525876,43518
1232.073133,1.07814,534924,44684
1235.622729,1.074294,543735,45824
1239.167985,1.073536,552416,46637
1242.708899,1.070976,560133,47568
1246.245473,1.068112,569272,48664
1249.777706,1.066606,579005,49668
1253.305598,1.064488,587987,50685
1258.002701,1.063323,599694,51833
1261.520465,1.063361,608633,52601
1265.033887,1.060774,616784,53624
1268.542968,1.061608,625091,54242
1272.047709,1.05972,634956,55338
1275.548108,1.060704,645504,56130
1279.044167,1.059166,655587,57209
1282.535885,1.060505,663922,57758
1286.023262,1.060216,671751,58478
1289.506298,1.060423,679680,59140
1292.984993,1.061834,686584,59547
1296.459347,1.063783,693263,59857
1301.085067,1.065797,699708,60134
1304.549292,1.067265,704249,60320
1308.009177,1.066924,708001,60689
1311.46472,1.06902,711016,60654
1314.915923,1.069401,714948,60936
1318.362785,1.070984,718007,60974
1321.805306,1.072663,720446,60945
1325.243486,1.073119,721901,61004
1328.677325,1.074401,722847,60904
1332.106823,1.0742,724020,61031
1335.53198,1.075166,724288,60918
1338.952797,1.075693,723120,60746
1343.507133,1.075523,722219,60694
1346.91782,1.077409,721047,60333
1350.324167,1.078544,719268,60027
1353.726173,1.080149,716267,59556
1357.123838,1.081994,714485,59156
1360.517162,1.083835,712680,58757
1363.906145,1.083645,710356,58591
1367.290787,1.083492,707390,58367
1370.671089,1.083657,704592,58114
1374.047049,1.082689,702177,58044
1377.418669,1.085007,700827,57624
1380.785947,1.085891,698550,57320
1384.148885,1.086178,697218,57173
1388.62605,1.086219,697174,57164
1391.978858,1.0874,696224,56931
1395.327327,1.087244,693847,56757
1398.671454,1.089927,692095,56265
1402.01124,1.091885,690007,55843
1405.346685,1.094635,687514,55290
1408.67779,1.099266,684705,54480
1412.004553,1.102613,682706,53904
1415.326976,1.104944,680752,53462
1418.645058,1.108584,678470,52838
1421.958799,1.111867,676178,52263
1425.268199,1.112933,674481,52004
1429.67398,1.117631,673255,51351
1432.973251,1.121752,671666,50746
1436.268181,1.121774,670192,50632
1439.55877,1.124281,670398,50356
1442.845019,1.124515,669786,50283
1446.126927,1.125742,668555,50049
1449.404493,1.126865,667527,49843
1452.677719,1.127707,667145,49718
1455.946604,1.128302,666259,49584
1459.211148,1.129479,664888,49348
1462.471351,1.129646,662596,49159
1465.727213,1.129757,660339,48979
1470.06161,1.130993,657083,48599
1473.307344,1.131557,654268,48328
1476.548736,1.130539,651345,48225
1479.785788,1.132067,649168,47895
1483.018499,1.132677,646768,47651
1486.246869,1.130724,643543,47627
1489.470897,1.131228,640272,47330
1492.690586,1.131728,637177,47047
1495.905933,1.130462,633998,46949
1499.116939,1.129343,630441,46806
1502.323604,1.130051,626492,46437
1505.525929,1.129411,622498,46209
1509.788942,1.129918,617236,45765
1512.981138,1.128419,613309,45631
1516.168993,1.129758,608165,45109
1519.352506,1.132444,604219,44540
1522.531679,1.136534,599460,43775
1525.706511,1.139207,594149,43121
1528.877003,1.138392,588992,42827
1532.043153,1.137917,583636,42484
1535.204962,1.135004,577975,42355
1538.362431,1.135088,571876,41900
1541.515558,1.13286,566044,41686
1544.664345,1.128626,559692,41622
1548.855975,1.126337,550650,41166
1551.994632,1.124546,544014,40838
1555.128949,1.124741,537009,40294
1558.258926,1.12573,529951,39674
1561.384561,1.126136,522425,39074
1564.505855,1.124285,514612,38654
1567.622808,1.124093,506919,38093
1570.735421,1.123663,498813,37521
1573.843693,1.123692,490337,36881
1576.947623,1.125034,481799,36127
1580.047213,1.123005,473169,35646
1583.142462,1.121732,464240,35076
1586.23337,1.121394,454846,34393
1590.347828,1.119739,443037,33628
1593.428607,1.119237,433603,32950
1596.505046,1.119018,424822,32299
1599.577143,1.118382,415467,31634
1602.6449,1.118771,405875,30876
1605.708315,1.114434,396167,30440
1608.76739,1.111743,386270,29864
1611.822124,1.111091,377335,29217
1614.872517,1.108619,367141,28590
1617.918569,1.106067,357522,28005
1620.96028,1.106025,348309,27286
1623.99765,1.102644,339503,26804
1628.040725,1.101855,327369,25893
1631.067966,1.101554,318336,25196
1634.090867,1.098685,309136,24630
1637.109426,1.098483,300336,23940
1640.123645,1.096066,291009,23326
1643.133523,1.096221,281990,22595
1646.13906,1.095198,272399,21878
1649.140256,1.093975,262607,21151
1652.137111,1.091607,252745,20468
1655.129625,1.082395,241734,19996
1658.117799,1.079177,229810,19151
1661.101631,1.067117,215801,18490
1665.073322,1.050713,193911,17254
1668.047026,1.032928,174674,16192
1671.016388,1.010751,154518,15074
1673.98141,0.990247,134114,13716
1676.942091,0.965106,114602,12419
1679.898431,0.943489,96807,11026
1682.85043,0.931334,81602,9558
1685.798089,0.928797,68378,8056
1688.741406,0.927445,57834,6835
1691.680383,0.929154,49219,5794
1694.615018,0.941004,42034,4815
1697.545313,0.930134,36142,4245
1701.44562,0.929434,29564,3478
