Method:,Hadamard 1,,
Host Date-Time:,30/5/22 @ 18:59:0,,
Header Version:,1,,
System Temp (C):,36.59,,
Detector Temp (C):,0,,
Humidity (%):,74.46,,
Lamp PD:,3590,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,1.091476,66710,5404
905.331226,1.099317,78157,6218
909.259927,1.093397,86609,6985
913.184288,1.095699,93489,7500
917.104308,1.099426,100845,8021
921.019987,1.09235,109482,8851
924.931325,1.089224,119909,9764
930.13969,1.09021,137192,11146
934.0409,1.090607,152853,12407
937.937768,1.088157,169744,13856
941.830296,1.083374,186508,15393
945.718482,1.08061,202505,16820
949.602328,1.07747,217278,18178
953.481833,1.078105,230871,19287
957.356997,1.074319,244614,20614
961.22782,1.074768,258290,21744
965.094302,1.07093,272207,23119
968.956444,1.066934,285930,24509
972.814244,1.059484,299324,26101
976.667703,1.056117,312317,27446
981.798897,1.049819,328323,29274
985.642228,1.047658,339047,30381
989.481217,1.043718,347929,31461
993.315866,1.037915,355969,32621
997.146174,1.033053,362225,33568
1000.972141,1.029974,367316,34282
1004.793768,1.026298,370988,34919
1008.611053,1.023009,373767,35448
1012.423997,1.017548,375552,36068
1016.232601,1.013328,376293,36492
1020.036863,1.00756,376711,37021
1023.836785,1.005424,377323,37264
1028.896595,0.999538,377418,37782
1032.686388,0.996977,377404,38004
1036.47184,0.992499,377110,38368
1040.252951,0.989152,377014,38655
1044.029721,0.985518,376852,38963
1047.80215,0.986143,377578,38982
1051.570239,0.982354,378360,39405
1055.333986,0.98001,379943,39784
1059.093393,0.980188,381341,39914
1062.848459,0.980201,382852,40071
1066.599184,0.981243,385285,40229
1070.345568,0.979611,388277,40694
1075.333994,0.981651,391754,40866
1079.070249,0.982981,394773,41055
1082.802163,0.983636,397689,41296
1086.529736,0.985999,400401,41352
1090.252969,0.987655,403068,41469
1093.97186,0.990493,406200,41519
1097.686411,0.992945,409002,41570
1101.396621,0.997868,410878,41290
1105.10249,1.002198,412864,41078
1108.804018,1.005099,415004,41016
1112.501205,1.008141,416484,40875
1116.194051,1.012546,417087,40521
1121.111093,1.01896,418497,40062
1124.793811,1.022179,419748,39885
1128.472187,1.029452,419934,39240
1132.146223,1.037918,420245,38511
1135.815917,1.045832,420439,37833
1139.481271,1.057432,420703,36859
1143.142284,1.067897,420850,35994
1146.798956,1.07862,421771,35193
1150.451287,1.086659,422045,34570
1154.099277,1.093073,422934,34135
1157.742927,1.096441,423730,33935
1161.382235,1.099012,424814,33821
1166.227894,1.101762,426703,33757
1169.857073,1.102038,428315,33863
1173.481912,1.100829,430631,34141
1177.10241,1.101715,433684,34313
1180.718567,1.101617,436430,34538
1184.330383,1.10052,440333,34935
1187.937858,1.102559,446216,35236
1191.540992,1.103256,452603,35683
1195.139786,1.100842,457940,36305
1198.734238,1.10133,464099,36752
1202.324349,1.101117,470422,37271
1205.91012,1.09841,477509,38069
1209.49155,1.096343,484442,38806
1214.260037,1.094997,494430,39729
1217.831338,1.091322,503023,40763
1221.398298,1.088252,510557,41667
1224.960917,1.086251,518370,42500
1228.519195,1.082284,525876,43511
1232.073133,1.079981,534924,44495
1235.622729,1.076413,543735,45601
1239.167985,1.075271,552416,46451
1242.708899,1.072174,560133,47437
1246.245473,1.068424,569272,48629
1249.777706,1.066982,579005,49625
1253.305598,1.065329,587987,50587
1258.002701,1.065112,599694,51620
1261.520465,1.064246,608633,52494
1265.033887,1.062007,616784,53472
1268.542968,1.061712,625091,54229
1272.047709,1.060569,634956,55230
1275.548108,1.061695,645504,56002
1279.044167,1.060687,655587,57009
1282.535885,1.061348,663922,57646
1286.023262,1.061801,671751,58265
1289.506298,1.061504,679680,58993
1292.984993,1.062966,686584,59392
1296.459347,1.065411,693263,59633
1301.085067,1.067403,699708,59912
1304.549292,1.067841,704249,60240
1308.009177,1.069098,708001,60386
1311.46472,1.069787,711016,60547
